"","Name","WAR","RAA.off","RAA.pitch","RAA.field","RAA.br"
"985","Trout",4.64,42.9,0,3.53,1.26
"353","Tulowitzki",3.9,34.42,0,4.6,-5.15
"724","Goldschmidt",3.3,32.08,0,0.92,4.52
"190","Hernandez, F",2.89,-0.73,30.63,-0.99,0
"482","Gordon, A",2.69,19.81,0,7.12,7.37
"588","Kershaw",2.67,2.32,24.29,0.11,-0.47
"125","Wainwright",2.67,3.95,22.71,0.06,-0.82
"598","Brantley",2.64,24.13,0,2.26,1.49
"829","Sale",2.61,0,25.83,0.27,0
"345","Lester",2.57,-0.32,26.84,-0.82,0
"1047","Seager",2.43,20.8,0,3.51,-0.66
"430","McCutchen",2.41,20.6,0,3.49,2.61
"836","Stanton",2.39,27.2,0,-3.35,6.4
"17","Werth",2.38,23.37,0,0.44,4.82
"491","Moss",2.37,19.89,0,3.78,1.12
"89","Cabrera, M",2.33,15.2,0,8.1,-0.96
"683","Chisenhall",2.32,25.01,0,-1.8,-0.83
"1156","Puig",2.31,21.46,0,1.61,3.58
"805","Mesoraco",2.24,22.47,0,-0.1,-3.77
"812","Norris, D",2.13,21.63,0,-0.32,-0.88
"800","Lucroy",2.09,19.7,0,1.24,3.36
"580","Betances",2.06,0,20.3,0.29,0
"12","Beltre, A",2.03,20.89,0,-0.56,-1.15
"174","Jones, Ad",2.01,18.54,0,1.61,2.8
"414","Pearce",1.98,14.26,0,5.52,0.85
"778","Donaldson",1.93,15.3,0,3.99,-0.09
"996","Abreu",1.92,15.51,0,3.73,-2.85
"60","Utley",1.9,15.71,0,3.27,3.51
"134","Cano",1.88,21.69,0,-2.87,2.27
"480","Braun",1.88,17.59,0,1.16,1.76
"228","Kinsler",1.83,13.56,0,4.69,6.94
"180","Kazmir",1.81,-0.92,18.67,0.29,0
"1044","Richards",1.8,-1.79,19.61,0.16,0
"1068","Keuchel",1.78,0.3,15.92,1.58,0
"688","Martinez, J",1.77,16.89,0,0.85,0.4
"370","Scherzer",1.77,-0.2,18.4,-0.53,0
"135","Encarnacion",1.76,15.15,0,2.46,-2.08
"488","Gomez, C",1.76,16.96,0,0.65,2.83
"59","Martinez, V",1.72,16.01,0,1.15,-8.04
"41","Buehrle",1.66,0,17.16,-0.53,0
"102","Crisp",1.65,16.09,0,0.43,2.17
"1059","Dickerson",1.64,20.11,0,-3.68,-0.66
"378","Arrieta",1.6,-1.24,17,0.22,-0.12
"278","Kluber",1.59,0.2,15.39,0.34,-0.02
"86","Morneau",1.58,13.89,0,1.86,-1.34
"947","Rendon",1.56,14.45,0,1.19,4.05
"173","Hamels",1.52,0.38,14.79,0.07,-1.36
"732","Darvish",1.52,-0.07,14.82,0.5,0
"992","Tanaka, M",1.5,-0.53,15.81,-0.28,0
"225","Kendrick, H",1.5,12.65,0,2.33,1
"1116","Gattis",1.49,15.32,0,-0.39,-0.78
"465","McGee",1.49,0,14.89,0,0
"412","Cueto",1.48,-1.93,15.88,0.88,-0.14
"342","Lind",1.48,17.87,0,-3.06,0.66
"96","Reyes",1.47,14.68,0,-0.02,5.53
"222","Duke",1.46,-0.11,14.59,0.08,0
"35","Rollins",1.44,13.44,0,0.94,-0.06
"873","Ozuna",1.43,6.09,0,8.21,1.64
"239","Desmond",1.42,16.12,0,-1.93,0.89
"358","Miller, A",1.41,0,13.54,0.54,0
"383","Frazier",1.41,11.03,0,3.04,3.38
"237","Suzuki, K",1.38,13.21,0,0.58,-5.43
"907","Gillaspie",1.37,14.49,0,-0.83,1.05
"243","Cruz, N",1.36,13.29,0,0.33,-3.78
"727","O'Day",1.36,0,12.97,0.6,0
"823","Rizzo",1.35,15.44,0,-1.92,-0.03
"1060","Dozier",1.35,8.52,0,4.99,2.7
"128","Greinke",1.35,0.19,11.83,1.46,-0.89
"352","Ellsbury",1.32,9.86,0,3.37,2.16
"166","Bautista",1.32,14.88,0,-1.71,-0.31
"763","Bumgarner",1.29,6.39,6.36,0.18,-0.7
"911","Gray, S",1.29,-0.27,12.21,0.95,0
"329","Davis, W",1.27,0,13.18,-0.47,0
"44","Hamilton",1.26,11.94,0,0.68,-0.44
"961","Springer",1.26,15.08,0,-2.48,0.07
"196","Howell",1.25,0,12.49,-0.04,0
"9","Ortiz, D",1.23,12.57,0,-0.32,-4.53
"217","Sanchez, An",1.22,0.83,10.91,0.47,0.02
"313","Neshek",1.22,0,11.65,0.53,0
"747","Castro, S",1.21,10.97,0,1.15,-0.06
"1123","Kiermaier",1.21,10.03,0,2.07,0.22
"366","Watson",1.2,0.96,11.08,0,0
"993","Ryu",1.19,-0.35,11.18,1.07,-0.19
"400","Price",1.18,-0.22,12.93,-0.91,0
"549","Abad",1.18,0,10.9,0.88,0
"466","Saunders, M",1.18,6.95,0,4.8,2.2
"208","Pagan",1.17,6.56,0,5.16,0.81
"670","Davis, Kh",1.16,5.02,0,6.56,1.06
"175","Aybar",1.15,12.49,0,-0.97,0.53
"106","Peralta, Jh",1.15,4.17,0,7.3,-2.4
"694","Britton",1.13,0,10.57,0.73,0
"216","Ramirez, H",1.13,16.68,0,-5.39,2.73
"386","Broxton, J",1.13,0,10.51,0.77,0
"1021","Gennett",1.13,14.54,0,-3.27,1.9
"635","Cespedes",1.11,8.08,0,3.06,3.49
"633","Uehara",1.11,0,11.15,-0.02,0
"524","Cabrera, Me",1.1,12.17,0,-1.16,-0.54
"963","Gordon, D",1.1,10.99,0,0.02,2.91
"831","Smith, W",1.09,0,11.01,-0.08,0
"894","Crawford, B",1.09,10.93,0,-0.07,3.37
"817","Porcello",1.08,-0.17,10.86,0.15,0
"189","Casilla, S",1.08,0.05,11.04,-0.33,0
"991","Iwakuma",1.07,0.43,9.59,0.69,0.13
"1114","Eaton",1.07,11.26,0,-0.59,1.78
"379","Blackmon",1.05,7.74,0,2.78,-5
"647","Quintana",1.05,-0.32,10.58,0.22,0
"436","Turner, J",1.04,7.87,0,2.58,1.65
"1111","Calhoun",1.04,9.43,0,1,1.56
"1105","Yelich",1.03,8.28,0,2.01,0.21
"244","Jaso",1.02,9.84,0,0.36,1.74
"49","Affeldt",1.01,0,8.29,1.83,0
"361","Stubbs",1.01,10.53,0,-0.47,1.02
"343","Pence",1,15.6,0,-5.55,5.74
"553","Putnam",1,0,10.27,-0.23,0
"741","Altuve",1,6.77,0,3.27,1.02
"542","Montero, M",1,10.6,0,-0.62,0.29
"340","Smith, S",0.99,12.91,0,-2.96,1.52
"306","Papelbon",0.99,0,10.1,-0.22,0
"433","Upton, J",0.97,6.97,0,2.74,1.35
"267","Chavez, J",0.97,-0.58,11.32,-1.03,0
"861","Teheran",0.97,-0.13,9.92,-0.11,-0.07
"1080","Allen",0.96,0,9.67,-0.03,0
"235","Walker",0.96,11.75,0,-2.15,0.69
"296","Doolittle",0.96,-0.07,9.81,-0.15,0
"1024","Hamilton, B",0.96,8.06,0,1.51,2.91
"317","Vargas",0.95,0,9.01,0.54,0
"318","Weaver",0.95,-0.29,9.3,0.54,0
"58","Soriano, R",0.94,0,9.48,-0.11,0
"388","Iannetta",0.92,9.94,0,-0.7,-0.22
"179","Martin, R",0.92,8.53,0,0.69,2.08
"994","Chapman",0.92,0,9.17,0,0
"344","Span",0.91,5.89,0,3.21,5.74
"685","Robertson, D",0.91,0,9.09,0.01,0
"1089","Kahnle",0.91,-0.16,8.93,0.3,0
"474","Varvaro",0.91,0,9.08,-0.03,0
"791","Holland, G",0.9,0,9.32,-0.28,0
"1149","Wacha",0.9,-0.09,9.04,0.08,0.37
"932","Lyles",0.9,2.46,5.53,1.01,-0.31
"780","Freeman, F",0.9,8.78,0,0.2,4.2
"1130","Asche",0.9,7.53,0,1.43,2.2
"1112","deGrom",0.89,1.82,6.84,0.22,0.08
"876","Santana, D",0.88,9.03,0,-0.21,0.53
"293","Jepsen",0.88,0,8.85,-0.09,0
"1034","Loup",0.87,0,7.07,1.59,0
"218","Street",0.85,0,8.29,0.17,0
"668","Chamberlain",0.84,0,8.19,0.17,0
"1058","Carpenter, M",0.84,11.15,0,-2.79,0.53
"124","Atchison",0.83,0,7.78,0.5,0
"193","League",0.83,-0.04,8.1,0.21,0
"66","Holliday",0.82,8.85,0,-0.65,-1.38
"970","Wong",0.81,5.97,0,2.15,2.56
"795","Kimbrel",0.81,0,8.11,-0.02,0
"525","Machi",0.8,-0.28,8.55,-0.3,-0.12
"38","Beckett",0.8,1.81,5.81,0.33,-0.02
"74","Rodney",0.79,0,8.05,-0.14,0
"1043","Pollock",0.78,7.7,0,0.15,-0.74
"975","Familia",0.78,0.38,7.86,-0.39,0.01
"702","Boxberger",0.78,0,7.93,-0.1,0
"814","Otero",0.78,0,7.09,0.72,0
"1069","Morin, M",0.78,0,7.65,0.11,0
"949","Roark",0.77,-2.38,9.67,0.44,-0.02
"419","Solano, D",0.76,2.42,0,5.23,0.87
"574","Zimmerman",0.76,7.04,0,0.6,0.07
"501","Plouffe",0.75,6.45,0,1.09,6.44
"816","Pomeranz",0.75,0,7.09,0.44,0
"399","Pedroia",0.75,3.13,0,4.38,-1.53
"916","Harrison, J",0.74,8.64,0,-1.19,4.52
"864","Quackenbush",0.74,0,7.36,0.01,0
"150","Qualls",0.73,0,7.28,0.03,0
"555","Conger",0.73,6.58,0,0.72,2.53
"887","Brach",0.72,-0.03,7.41,-0.14,0
"37","Benoit",0.72,0,7.42,-0.19,0
"273","Wieters",0.71,6.47,0,0.65,-1.1
"183","McGehee",0.71,11.18,0,-4.07,-1.39
"710","Fien",0.71,0,6.7,0.4,0
"282","Rodriguez, S",0.71,7.27,0,-0.17,0.57
"735","Alvarez, H",0.7,0.35,4.85,1.81,-0.01
"717","Dyson, J",0.7,2.78,0,4.22,1.81
"900","Farquhar",0.7,0,6.87,0.1,0
"819","Ramirez, N",0.69,0,7,-0.08,0
"286","Ziegler",0.69,-0.02,6.25,0.67,0
"1153","Wood, A",0.69,-1.12,8.67,-0.64,-0.11
"65","Lackey",0.69,0,6.54,0.31,0
"301","Sipp",0.68,0,6.6,0.16,0
"593","Badenhop",0.67,0,6.23,0.49,0
"779","Duffy",0.67,0.33,7.28,-0.92,0.02
"87","Rodriguez, Fr",0.67,0,6.78,-0.11,0
"437","Posey",0.66,6.77,0,-0.15,0.31
"582","Warren",0.66,0,6.78,-0.18,0
"259","Janssen",0.65,0,6.57,-0.03,0
"305","Wright, W",0.65,0,5.81,0.7,0
"418","Torres, A",0.64,-0.09,6.43,0.08,0
"860","Perez, M",0.64,-0.01,6.54,-0.11,0
"355","Hughes, J",0.64,-0.1,5.95,0.52,0
"52","Lohse",0.63,-1.33,7.86,-0.28,-0.09
"715","Gregerson",0.62,0,6.14,0.11,0
"680","Archer",0.62,-0.11,6.34,0.01,0
"1075","Stroman",0.61,0,6.31,-0.2,0
"699","Samardzija",0.61,1.07,5.27,-0.25,-0.25
"498","Hughes, P",0.61,-0.61,7.44,-0.77,0
"319","Zobrist",0.6,5.48,0,0.55,5.44
"127","Cotts",0.6,0,6.56,-0.57,0
"417","Cain, L",0.6,2.49,0,3.48,0.97
"330","Fowler",0.59,13.08,0,-7.14,1.88
"718","Murphy, Dn",0.59,9.25,0,-3.37,2.75
"374","Melancon",0.58,0,5.2,0.64,0
"753","Herrera, K",0.58,0,5.96,-0.17,0
"1158","Despaigne, O",0.57,-1.42,6.73,0.43,0
"497","Gonzalez, Gi",0.55,0.39,5.67,-0.52,-0.19
"706","Gentry",0.55,2.1,0,3.41,2.28
"623","Thatcher",0.55,0,5.79,-0.32,0
"839","Vogt",0.55,6,0,-0.54,0.76
"930","Lawrie",0.54,4.79,0,0.66,0.14
"1136","Marshall, E",0.54,0,3.27,2.16,0
"47","Choate",0.54,0,5.24,0.14,0
"99","Perez, O",0.54,0,5.42,-0.05,0
"146","Gomes, J",0.53,3.18,0,2.12,-0.24
"346","Wilhelmsen",0.52,0,4.44,0.71,0
"1071","Ramos, A",0.51,0,4.79,0.35,0
"322","Fister",0.51,-0.07,4.83,0.37,1.15
"1029","Holt",0.51,7.09,0,-1.97,-0.78
"147","Simon",0.51,0.38,3.4,1.31,-0.49
"722","Petricka",0.5,0,4.79,0.24,0
"1022","Giles",0.5,0,5.18,-0.23,0
"915","Hardy",0.49,0,4.35,0.55,0
"533","Santana, C",0.49,6.51,0,-1.62,0.5
"667","Smith, J",0.49,0,4.41,0.44,0
"154","Adams, M",0.48,0,4.2,0.62,0
"776","Dietrich",0.48,5.48,0,-0.7,2.23
"781","Freeman, S",0.48,0,4.78,0,0
"926","Kipnis",0.47,4.05,0,0.7,0.63
"837","Storen",0.47,0,4.71,0.03,0
"605","Duensing",0.47,0,4.55,0.16,0
"1000","Suarez",0.46,3.81,0,0.84,-1.83
"316","Perkins",0.46,0,4.16,0.44,0
"518","Soria",0.46,0,4.41,0.18,0
"874","Villar, J",0.46,-0.43,0,5.01,4.03
"590","Walden",0.46,0,4.72,-0.15,0
"457","Lynn",0.46,-2.01,6.69,-0.1,-0.35
"69","De La Rosa, J",0.46,3,1.83,-0.26,-0.27
"356","Kennedy",0.46,1.99,3.04,-0.48,-0.1
"845","Zimmermann",0.45,-0.22,3.93,0.83,0.06
"783","Furbush",0.45,0,4.95,-0.45,0
"567","Ross, T",0.45,-0.86,4.96,0.38,0.08
"600","Cashner",0.44,0.04,3.65,0.74,0.33
"990","Tazawa",0.44,0,4.4,0.03,0
"114","LaRoche",0.44,5.71,0,-1.31,-0.93
"701","Black",0.44,0,4.55,-0.15,0
"928","Kohn",0.44,0,4.43,-0.06,0
"865","Hahn",0.43,-0.8,5.43,-0.28,-0.06
"856","De La Rosa, R",0.43,0,4.22,0.11,0
"53","Beimel",0.43,0,4.15,0.18,0
"32","Dunn, A",0.43,2.97,0,1.34,-3.89
"995","Martin, L",0.43,-0.09,0,4.35,3.77
"302","Torres, C",0.42,-0.16,5.41,-1,0
"548","Valbuena",0.42,3.46,0,0.78,0.37
"1125","Odor",0.42,5.99,0,-1.76,0.24
"260","Redmond",0.41,-0.12,4.86,-0.6,0
"1014","Arenado",0.41,2.63,0,1.47,0.5
"281","Cecil",0.4,0,4.08,-0.04,0
"775","Diekman",0.4,0,3.33,0.68,0
"394","Bastardo",0.4,0.25,3.76,-0.05,-0.01
"496","Murphy, Dv",0.39,7.16,0,-3.22,1
"159","Johnson, K",0.39,2.84,0,1.1,-0.95
"557","Freiman",0.39,2.97,0,0.94,0.59
"530","Ramos, W",0.39,3.31,0,0.54,0.34
"1007","Alcantara",0.38,3.65,0,0.19,0.81
"246","Webb",0.38,0,4.28,-0.47,0
"1076","Thielbar",0.38,0,3.69,0.11,0
"587","Niese",0.38,-1.1,5.31,-0.41,-0.09
"653","Pineda",0.38,0,3.68,0.11,0
"972","Gregorius",0.37,3.77,0,-0.06,1.37
"789","Heyward",0.37,-1.61,0,5.27,0.72
"674","Kontos",0.36,0,3.75,-0.15,0
"181","Wright, D",0.35,4.7,0,-1.15,-0.22
"1154","Simmons, S",0.35,0,3.56,-0.05,0
"941","Nieuwenhuis",0.35,3.06,0,0.44,-0.3
"493","Clippard",0.35,0,3.59,-0.09,0
"958","Shaw",0.35,0,3.73,-0.24,0
"794","Kelley",0.35,0,2.68,0.78,0
"527","Strop",0.35,0,3.84,-0.38,0
"377","Fuld",0.34,0.15,0,3.25,-1.9
"966","Vazquez",0.34,3.12,0,0.28,-0.24
"327","Adduci",0.33,2.63,0,0.71,0.36
"709","Gillespie",0.33,0.6,0,2.73,2
"640","Ottavino",0.33,0,3.63,-0.34,0
"1062","Edgin",0.32,0.04,3.36,-0.16,0
"1108","Polanco, J",0.32,3.29,0,-0.1,0.12
"1086","Gausman",0.32,0,3.54,-0.36,0
"1100","Simmons, A",0.32,3.12,0,0.06,3.03
"842","Withrow",0.31,0,3.13,0.01,0
"1159","Crockett",0.31,0,3.29,-0.16,0
"486","Gimenez",0.31,1.83,0.35,0.91,-1.48
"638","Campbell",0.31,3.72,0,-0.65,0.47
"462","Gardner, B",0.3,3.08,0,-0.1,-2.03
"738","Sanchez, T",0.3,3.18,0,-0.21,0.45
"832","Smolinski",0.3,2.83,0,0.12,-0.14
"682","Locke",0.29,0.05,3.28,-0.43,-0.35
"36","Arroyo",0.29,2.8,0.06,0.03,0.42
"266","Thayer",0.29,0,2.89,-0.01,0
"547","Carrasco",0.29,-0.1,2.65,0.33,0
"1098","Rutledge",0.29,5.58,0,-2.72,0.83
"689","Negron",0.28,2.72,0,0.09,0.01
"160","Boyer",0.28,0,2.56,0.2,0
"15","Chavez, Er",0.27,2.29,0,0.4,0.36
"111","Willingham",0.27,3.09,0,-0.4,-1.14
"586","Alvarez, P",0.27,2.84,0,-0.15,2.36
"275","Longoria",0.27,7.09,0,-4.42,0.34
"556","Rasmus, C",0.26,0,2.48,0.15,0
"1046","Rosenthal",0.26,-0.27,3.13,-0.23,0
"456","Wilson, J",0.26,-0.09,3,-0.32,0
"300","Ruggiano",0.26,-0.23,0,2.82,-2.73
"268","Eveland",0.26,0,2.68,-0.1,0
"506","Andrus",0.25,2.28,0,0.22,6.13
"631","Kuroda",0.25,-0.37,2.58,0.29,0
"100","Lee, Cl",0.25,-0.35,3.15,-0.35,-0.26
"205","Hammel",0.24,-0.76,4.5,-1.33,-0.25
"484","Reimold",0.24,2.3,0,0.08,-0.09
"95","Crawford, C",0.23,2.45,0,-0.12,4.07
"608","Hunter, T",0.23,0,2.14,0.17,0
"645","Medina",0.23,0,2.82,-0.53,0
"766","Cishek",0.23,0,2.6,-0.32,0
"314","Kouzmanoff",0.23,4.1,0,-1.84,-0.75
"64","Byrd",0.22,-0.71,0,2.91,-4.22
"350","Gorzelanny",0.22,0.04,2.26,-0.1,0
"924","Jennings, D",0.22,0,2.67,-0.48,0
"770","Cowgill",0.22,-0.64,0,2.83,-1.94
"335","Rodriguez, Fe",0.22,0,2.24,-0.05,0
"1064","Greene",0.22,0,2.22,-0.06,0
"29","Hudson, T",0.21,-4.79,7.28,-0.36,0.3
"880","Mendez",0.21,0,2.06,0.06,0
"1037","Murphy",0.2,1.41,0,0.64,0.2
"22","Cuddyer",0.2,2.11,0,-0.08,-0.5
"145","Young, D",0.2,3.26,0,-1.26,-0.61
"79","Ludwick",0.2,2.61,0,-0.65,-1.67
"700","Leake",0.19,0.55,1.24,0.13,-0.25
"828","Rzepczynski",0.19,0,2.8,-0.92,0
"280","Guyer",0.19,-0.01,0,1.89,1.44
"4","Hawkins",0.19,0,2.25,-0.39,0
"1","Abreu",0.19,4.59,0,-2.73,0.89
"728","Peralta, W",0.18,1.62,0.72,-0.49,-0.08
"1050","Wheeler, R",0.18,2.29,0,-0.46,-0.11
"681","Gibson",0.18,-0.97,2.98,-0.19,-0.37
"469","Joyce",0.18,0.97,0,0.86,-0.51
"619","Stammen",0.18,1.59,0.45,-0.23,0.46
"1012","Adams, M",0.18,1.56,0,0.25,-0.49
"564","Belt",0.18,-2.17,0,3.97,1.31
"850","Perez, S",0.18,1.8,0,0,0.19
"1042","Paxton",0.18,0,1.73,0.07,0
"449","Coghlan",0.18,4.8,0,-3,1.25
"408","Alburquerque",0.18,0,1.51,0.28,0
"804","McFarland",0.18,-0.01,1.42,0.37,0
"1016","Bour",0.18,1.75,0,0.02,0.08
"942","Odorizzi",0.18,0,2.27,-0.51,0
"989","Perez, R",0.18,1.82,0,-0.06,-0.2
"1128","La Stella",0.17,2.82,0,-1.08,-2.13
"968","Webb, D",0.17,0,1.06,0.67,0
"634","Wada",0.17,0.13,1.29,0.28,-0.02
"979","Strasburg",0.17,1.1,0.35,0.25,-0.28
"1045","Rodriguez, P",0.17,0,1.66,0.03,0
"479","Pennington",0.17,1.36,0,0.33,0.87
"489","Morgan",0.17,3.3,0,-1.62,0.41
"803","McCoy",0.16,0,1.67,-0.05,0
"1140","Elias",0.16,0.08,1.14,0.39,0
"72","Lane, J",0.16,-0.09,1.55,0.12,0
"613","Partch",0.16,0,1.63,-0.05,0
"464","Mattheus",0.16,0,1.55,0,0
"1152","Thomas, I",0.15,0,1.88,-0.35,0
"245","Trumbo",0.15,2.03,0,-0.5,-2.02
"813","Oberholtzer",0.15,0,1.9,-0.38,0
"30","Carlyle",0.15,0,1.5,0,0
"1026","Hernandez",0.15,4.03,0,-2.54,0.29
"673","Sizemore",0.15,1.16,0,0.33,0.09
"463","Young, E",0.15,1.04,0,0.44,4.92
"621","Yates",0.15,0,1.47,0,0
"234","Kottaras",0.15,1.75,0,-0.3,-0.33
"573","Phelps, D",0.14,-0.55,1,1,-0.01
"769","Colon, C",0.14,1.37,0,0.07,-0.07
"157","Frasor",0.14,0,1.05,0.37,0
"210","Gutierrez",0.14,-0.09,2.08,-0.6,0
"452","Cedeno, X",0.14,0,1.43,-0.04,0
"448","Votto",0.14,2.35,0,-0.97,0.17
"392","Chirinos",0.14,1.81,0,-0.46,-0.21
"63","Overbay",0.14,0.68,0.18,0.5,0.54
"272","Duda",0.13,4.31,0,-2.97,-0.53
"88","Figgins",0.13,1.04,0,0.31,0.03
"636","Ramirez, Al",0.13,0.11,0,1.2,0
"447","Albers, M",0.13,0,1.42,-0.11,0
"866","Nava",0.13,-1.74,0,3.02,-1.06
"626","Feliz",0.13,0,1.31,-0.05,0
"55","Uribe",0.13,-1.21,0,2.46,-1.35
"1133","Capps",0.12,0,1.39,-0.14,0
"632","Matsuzaka",0.12,0.73,0.53,-0.03,0.03
"971","Wooten",0.12,0,1.67,-0.47,0
"824","Robinson, C",0.12,1.04,0,0.16,-0.19
"191","Petit, Y",0.12,-0.75,2.78,-0.87,0
"423","Coke",0.11,0,1.23,-0.09,0
"560","Mercer",0.11,-3.09,0,4.22,1.56
